-5899757.107787724	17790114.866041683	0	0
1035309.6810031892	1926656.8751538517	0	0
1035309.9860949613	1926656.8376700927	0	0
1035310.3152752902	1926656.8082289784	0	0
1035310.6448159806	1926656.7118974405	0	0
1035310.9464591213	1926656.669613318	0	0
1035311.2637906177	1926656.6166375198	0	0
1035311.5659081141	1926656.5300712234	0	0
1035311.9083570533	1926656.4703148797	0	0
1035312.2260621357	1926656.4082276735	0	0
1035312.5798475896	1926656.3331633154	0	0
1035312.9262643566	1926656.2589661607	0	0
1035313.2277367086	1926656.1957284957	0	0
1035313.5941872293	1926656.1197055816	0	0
1035313.945972527	1926656.046638929	0	0
1035314.2430600557	1926655.9847049555	0	0
1035314.6023505144	1926655.9079427044	0	0
1035314.9385584141	1926655.8385807902	0	0
1035315.2973621708	1926655.7751702047	0	0
1035315.5923068039	1926655.71461367	0	0
1035315.9109527916	1926655.6480475797	0	0
1035316.2560988597	1926655.577957844	0	0
1035316.577235681	1926655.5140482523	0	0
1035316.9348194713	1926655.4390594778	0	0
